gpsDate,latitude,longitude,Power_Mode,Fuel_Consum,GD_Engine_Temp,Steering_Angle_Speed,Transmission_Type,Vehicle_Speed,Engine_Speed,Brake_Control_Volume,Radar_Cruise_State,Streering_Angle_Degree,Odometer_Reading,Hood_Courtesy,Passenger_AC_Value,Driver_AC_Value,Fuel_Gauge,Rear_Fog_Light,Front_Fog_Light,Lounge_Illum_Light,Front_Dome_Light,Slide_Roof,Passenger_Window_State,RR_Window_State,Driver_Window_State,RL_Window_State,AccelFB,AccelLR,Inlet_Switch_Indicator,AC_Blower_Level,WhilteLine_Left,LKA_Steering_Support,WhilteLine_Right
2017-03-07T15:33:15,39.7721615,-104.7949392,0,0.2655,41.5,0.976,1,0,1032.8125,0.02,1,1.5,960,,,,,0,0,3,0,,,,,,,,,,2,0,2
2017-03-07T15:33:16,39.7721615,-104.7949392,0,0.275,41.5,0.732,1,0,1047.65625,0.02,1,1.5,960,,,,,,,,,,,,,,-0.14356,-0.25129,,,2,0,2
2017-03-07T15:33:17,39.7721615,-104.7949392,,0.2785,41.5,0.976,1,0,1039.0625,0.02,1,1.5,,,74,74,,,,,,,,,,,-0.10767,-0.25129,,,2,0,2
2017-03-07T15:33:18,39.7721615,-104.7949392,0,0.281,42,0.976,1,0,1035.15625,0.02,1,1.5,960,,,,,,,,,,2,2,1,2,,,,,,,
2017-03-07T15:33:19,39.7721615,-104.7949371,0,0.284,42,0.976,1,0,1042.1875,0.02,1,1.5,,,,,,,,,,,,,,,-0.14356,-0.25129,,,2,0,2
2017-03-07T15:33:20,39.7721615,-104.7949371,,0.29,42,0.976,1,0,1039.0625,0.02,1,1.5,960,,,,,,,,,,,,,,,,,,2,0,2
2017-03-07T15:33:21,39.7721636,-104.7949371,0,0.305,42,0.976,1,0,1045.3125,0.02,1,1.5,960,,,,,,,,,,,,,,-0.10767,-0.28718,,,2,0,2
2017-03-07T15:33:22,39.7721636,-104.7949371,0,0.295,42,0.976,1,0,1032.03125,0.02,1,1.5,,,,,,,,,,,2,2,2,2,-0.14356,-0.25129,,,2,0,2
2017-03-07T15:33:23,39.7721636,-104.7949349,0,0.294,,0.976,1,0,1031.25,0.02,1,1.5,960,0,74,74,,,,,,,2,2,2,2,,,,,2,0,2
2017-03-07T15:33:24,39.7721636,-104.7949349,0,0.289,42,0.976,1,0,1019.53125,0.02,1,1.5,960,,,,255,,,,,,,,,,-0.14356,-0.25129,,,2,0,2
2017-03-07T15:33:25,39.7721636,-104.7949349,0,0.29,42,0.976,1,0,1032.8125,0.02,1,1.5,,,,,,0,0,3,0,,,,,,-0.14356,-0.25129,,,2,0,2
